Verb ID,Kanji,Kana,Meaning,Bing Prompt
n5_v_0212,冷やす,ひやす,to cool,"simple minimalist illustration of to cool, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0213,拾う,ひろう,to pick up,"simple minimalist illustration of to pick up, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0214,褒める,ほめる,to praise,"simple minimalist illustration of to praise, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0215,ぶつかる,ぶつかる,to bump into,"simple minimalist illustration of to bump into, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0216,拭く,ふく,to wipe,"simple minimalist illustration of to wipe, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0217,復習する,ふくしゅうする,to review (lessons),"simple minimalist illustration of to review (lessons), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0218,曲げる,まげる,to bend,"simple minimalist illustration of to bend, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0219,混ぜる,まぜる,to mix,"simple minimalist illustration of to mix, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0220,見つける,みつける,to find,"simple minimalist illustration of to find, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0221,磨く,みがく,to polish,"simple minimalist illustration of to polish, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0222,濡れる,ぬれる,to get wet,"simple minimalist illustration of to get wet, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0223,焼く,やく,to grill,"simple minimalist illustration of to grill, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0224,予習する,よしゅうする,to prepare (lessons),"simple minimalist illustration of to prepare (lessons), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0225,汚れる,よごれる,to get dirty,"simple minimalist illustration of to get dirty, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0226,断る,ことわる,to refuse,"simple minimalist illustration of to refuse, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0227,配る,くばる,to distribute,"simple minimalist illustration of to distribute, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0228,連絡する,れんらくする,to contact,"simple minimalist illustration of to contact, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0229,溢れる,あふれる,to overflow,"simple minimalist illustration of to overflow, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0230,浮かぶ,うかぶ,to float,"simple minimalist illustration of to float, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0231,折れる,おれる,to break,"simple minimalist illustration of to break, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0232,溺れる,おぼれる,to drown,"simple minimalist illustration of to drown, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0233,噛む,かむ,to chew,"simple minimalist illustration of to chew, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0234,凍る,こおる,to freeze,"simple minimalist illustration of to freeze, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0235,擦る,こする,to rub,"simple minimalist illustration of to rub, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0236,漉す,こす,to strain,"simple minimalist illustration of to strain, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0237,壊れる,こわれる,to break (intransitive),"simple minimalist illustration of to break (intransitive), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0238,裂ける,さける,to tear,"simple minimalist illustration of to tear, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0239,絞る,しぼる,to squeeze,"simple minimalist illustration of to squeeze, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0240,沈む,しずむ,to sink,"simple minimalist illustration of to sink, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0241,染める,そめる,to dye (hair),"simple minimalist illustration of to dye (hair), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0242,剃る,そる,to shave,"simple minimalist illustration of to shave, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0243,すすぐ,すすぐ,to rinse,"simple minimalist illustration of to rinse, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0244,叩く,たたく,to beat,"simple minimalist illustration of to beat, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0245,倒れる,たおれる,to fall over,"simple minimalist illustration of to fall over, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0246,垂らす,たらす,to drip,"simple minimalist illustration of to drip, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0247,詰まる,つまる,to get stuck,"simple minimalist illustration of to get stuck, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0248,飛ぶ,とぶ,to fly,"simple minimalist illustration of to fly, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0249,溶ける,とける,to melt,"simple minimalist illustration of to melt, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0250,梳かす,とかす,to comb (hair),"simple minimalist illustration of to comb (hair), educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0251,流れる,ながれる,to flow,"simple minimalist illustration of to flow, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0252,並ぶ,ならぶ,to line up,"simple minimalist illustration of to line up, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0253,煮る,にる,to boil,"simple minimalist illustration of to boil, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0254,縫う,ぬう,to sew,"simple minimalist illustration of to sew, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0255,塗る,ぬる,to apply (medicine,"simple minimalist illustration of to apply (medicine, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0256,飲み込む,のみこむ,to swallow,"simple minimalist illustration of to swallow, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0257,吐き出す,はきだす,to spit out,"simple minimalist illustration of to spit out, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0258,剥く,むく,to peel,"simple minimalist illustration of to peel, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0259,結ぶ,むすぶ,to tie (hair,"simple minimalist illustration of to tie (hair, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0260,蒸す,むす,to steam,"simple minimalist illustration of to steam, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0261,揉む,もむ,to massage,"simple minimalist illustration of to massage, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0262,破れる,やぶれる,to tear,"simple minimalist illustration of to tear, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0263,揺れる,ゆれる,to shake,"simple minimalist illustration of to shake, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0264,響く,ひびく,to resound,"simple minimalist illustration of to resound, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0265,光る,ひかる,to shine,"simple minimalist illustration of to shine, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0266,引っ掻く,ひっかく,to scratch,"simple minimalist illustration of to scratch, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0267,挽く,ひく,to grind,"simple minimalist illustration of to grind, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0268,包帯を巻く,ほうたいをまく,to bandage,"simple minimalist illustration of to bandage, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0269,燃える,もえる,to burn,"simple minimalist illustration of to burn, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0270,消える,きえる,to disappear,"simple minimalist illustration of to disappear, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
n5_v_0271,擦る,こする,to rub,"simple minimalist illustration of to rub, educational style, clear action, white background, single person or simple scene, Japanese textbook style"
