Verb ID,Kanji,Kana,Meaning,Bing Cartoon Prompt
n5_v_0215,ぶつかる,ぶつかる,to bump into,"cute cartoon illustration of person to bump into, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0216,拭く,ふく,to wipe,"cute cartoon illustration of person to wipe, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0217,復習する,ふくしゅうする,to review (lessons),"cute cartoon illustration of person to review (lessons), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0218,曲げる,まげる,to bend,"cute cartoon illustration of person to bend, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0219,混ぜる,まぜる,to mix,"cute cartoon illustration of person to mix, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0220,見つける,みつける,to find,"cute cartoon illustration of person to find, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0221,磨く,みがく,to polish,"cute cartoon illustration of person to polish, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0222,濡れる,ぬれる,to get wet,"cute cartoon illustration of person to get wet, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0223,焼く,やく,to grill,"cute cartoon illustration of person to grill, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0224,予習する,よしゅうする,to prepare (lessons),"cute cartoon illustration of person to prepare (lessons), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0225,汚れる,よごれる,to get dirty,"cute cartoon illustration of person to get dirty, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0226,断る,ことわる,to refuse,"cute cartoon illustration of person to refuse, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0227,配る,くばる,to distribute,"cute cartoon illustration of person to distribute, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0228,連絡する,れんらくする,to contact,"cute cartoon illustration of person to contact, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0229,溢れる,あふれる,to overflow,"cute cartoon illustration of person to overflow, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0230,浮かぶ,うかぶ,to float,"cute cartoon illustration of person to float, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0231,折れる,おれる,to break,"cute cartoon illustration of person to break, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0232,溺れる,おぼれる,to drown,"cute cartoon illustration of person to drown, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0233,噛む,かむ,to chew,"cute cartoon illustration of person to chew, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0234,凍る,こおる,to freeze,"cute cartoon illustration of person to freeze, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0235,擦る,こする,to rub,"cute cartoon illustration of person to rub, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0236,漉す,こす,to strain,"cute cartoon illustration of person to strain, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0237,壊れる,こわれる,to break (intransitive),"cute cartoon illustration of person to break (intransitive), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0238,裂ける,さける,to tear,"cute cartoon illustration of person to tear, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0239,絞る,しぼる,to squeeze,"cute cartoon illustration of person to squeeze, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0240,沈む,しずむ,to sink,"cute cartoon illustration of person to sink, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0241,染める,そめる,to dye (hair),"cute cartoon illustration of person to dye (hair), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0242,剃る,そる,to shave,"cute cartoon illustration of person to shave, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0243,すすぐ,すすぐ,to rinse,"cute cartoon illustration of person to rinse, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0244,叩く,たたく,to beat,"cute cartoon illustration of person to beat, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0245,倒れる,たおれる,to fall over,"cute cartoon illustration of person to fall over, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0246,垂らす,たらす,to drip,"cute cartoon illustration of person to drip, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0247,詰まる,つまる,to get stuck,"cute cartoon illustration of person to get stuck, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0248,飛ぶ,とぶ,to fly,"cute cartoon illustration of person to fly, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0249,溶ける,とける,to melt,"cute cartoon illustration of person to melt, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0250,梳かす,とかす,to comb (hair),"cute cartoon illustration of person to comb (hair), simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0251,流れる,ながれる,to flow,"cute cartoon illustration of person to flow, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0252,並ぶ,ならぶ,to line up,"cute cartoon illustration of person to line up, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0253,煮る,にる,to boil,"cute cartoon illustration of person to boil, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0254,縫う,ぬう,to sew,"cute cartoon illustration of person to sew, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0255,塗る,ぬる,to apply (medicine,"cute cartoon illustration of person to apply (medicine, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0256,飲み込む,のみこむ,to swallow,"cute cartoon illustration of person to swallow, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0257,吐き出す,はきだす,to spit out,"cute cartoon illustration of person to spit out, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0258,剥く,むく,to peel,"cute cartoon illustration of person to peel, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0259,結ぶ,むすぶ,to tie (hair,"cute cartoon illustration of person to tie (hair, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0260,蒸す,むす,to steam,"cute cartoon illustration of person to steam, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0261,揉む,もむ,to massage,"cute cartoon illustration of person to massage, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0262,破れる,やぶれる,to tear,"cute cartoon illustration of person to tear, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0263,揺れる,ゆれる,to shake,"cute cartoon illustration of person to shake, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0264,響く,ひびく,to resound,"cute cartoon illustration of person to resound, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0265,光る,ひかる,to shine,"cute cartoon illustration of person to shine, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0266,引っ掻く,ひっかく,to scratch,"cute cartoon illustration of person to scratch, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0267,挽く,ひく,to grind,"cute cartoon illustration of person to grind, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0268,包帯を巻く,ほうたいをまく,to bandage,"cute cartoon illustration of person to bandage, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0269,燃える,もえる,to burn,"cute cartoon illustration of person to burn, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0270,消える,きえる,to disappear,"cute cartoon illustration of person to disappear, simple anime style, kawaii character, colorful, white background, friendly and educational"
n5_v_0271,擦る,こする,to rub,"cute cartoon illustration of person to rub, simple anime style, kawaii character, colorful, white background, friendly and educational"
